order_id,customer_name,email,order_date,amount,status,region
1002,Customer 1,cust1@example.com,2024-01-02,193.52,Completed,US
1003,Customer 2,cust2@example.com,2024-01-03,475.85,Unknown,US
1004,Customer 3,cust3@example.com,2024-01-04,368.68,Completed,APAC
1005,Customer 4,cust4@example.com,2024-01-05,303.34,Pending,APAC
1006,Customer 5,cust5@example.com,2024-01-06,86.45,Pending,US
1007,Customer 6,cust6@example.com,2024-01-07,86.44,Completed,APAC
1008,Customer 7,cust7@example.com,2024-01-08,38.46,Completed,APAC
1009,Customer 8,cust8@example.com,2024-01-09,434.43,Pending,APAC
1010,Customer 9,cust9@example.com,2024-01-10,304.55,Pending,EU
1011,Customer 10,cust10@example.com,2024-01-11,356.96,Completed,EU
1013,Customer 12,cust12@example.com,2024-01-13,20.09,Completed,EU
1014,Customer 13,cust13@example.com,2024-01-14,485.26,Unknown,APAC
1015,Customer 14,cust14@example.com,2024-01-15,417.9,Pending,US
1016,Customer 15,cust15@example.com,2024-01-16,114.05,Cancelled,APAC
1017,Customer 16,cust16@example.com,2024-01-17,99.09,Cancelled,EU
1019,Customer 18,cust18@example.com,2024-01-19,159.08,Completed,US
1020,Customer 19,cust19@example.com,2024-01-20,267.13,Completed,EU
1021,Customer 20,cust20@example.com,2024-01-21,221.65,Pending,APAC
1022,Customer 21,cust21@example.com,2024-01-22,152.7,Pending,EU
1024,Customer 23,cust23@example.com,2024-01-24,309.81,Pending,US
1025,Customer 24,cust24@example.com,2024-01-25,78.35,Unknown,APAC
1026,Customer 25,cust25@example.com,2024-01-26,153.15,Completed,EU
1027,Customer 26,cust26@example.com,2024-01-27,189.52,Pending,US
1028,Customer 27,cust27@example.com,2024-01-28,233.47,Pending,APAC
1029,Customer 28,cust28@example.com,2024-01-29,394.74,Completed,US
1030,Customer 29,cust29@example.com,2024-01-30,107.84,Pending,US
1031,Customer 30,cust30@example.com,2024-01-31,261.97,Unknown,APAC
1032,Customer 31,cust31@example.com,2024-02-01,300.28,Pending,EU
1033,Customer 32,cust32@example.com,2024-02-02,32.76,Unknown,US
1036,Customer 35,cust35@example.com,2024-02-05,93.56,Completed,US
1037,Customer 36,cust36@example.com,2024-02-06,41.88,Pending,EU
1038,Customer 37,cust37@example.com,2024-02-07,474.95,Completed,US
1039,Customer 38,cust38@example.com,2024-02-08,483.16,Cancelled,US
1040,Customer 39,cust39@example.com,2024-02-09,406.11,Completed,APAC
1041,Customer 40,cust40@example.com,2024-02-10,159.26,Unknown,APAC
1042,Customer 41,cust41@example.com,2024-02-11,57.86,Completed,EU
1043,Customer 42,cust42@example.com,2024-02-12,345.27,Completed,US
1044,Customer 43,cust43@example.com,2024-02-13,225.67,Unknown,US
1046,Customer 45,cust45@example.com,2024-02-15,69.8,Cancelled,EU
1047,Customer 46,cust46@example.com,2024-02-16,252.64,Completed,EU
1048,Customer 47,cust47@example.com,2024-02-17,26.85,Pending,EU
1049,Customer 48,cust48@example.com,2024-02-18,455.57,Completed,US
1050,Customer 49,cust49@example.com,2024-02-19,136.8,Pending,EU
1051,Customer 50,cust50@example.com,2024-02-20,334.64,Completed,EU
1053,Customer 52,cust52@example.com,2024-02-22,264.83,Cancelled,US
1054,Customer 53,cust53@example.com,2024-02-23,277.89,Pending,APAC
1055,Customer 54,cust54@example.com,2024-02-24,100.58,Pending,EU
1057,Customer 56,cust56@example.com,2024-02-26,485.1,Completed,APAC
1058,Customer 57,cust57@example.com,2024-02-27,389.82,Pending,EU
1059,Customer 58,cust58@example.com,2024-02-28,470.35,Pending,EU
1060,Customer 59,cust59@example.com,2024-02-29,448.47,Pending,US
1061,Customer 60,cust60@example.com,2024-03-01,302.97,Unknown,US
1062,Customer 61,cust61@example.com,2024-03-02,461.72,Unknown,US
1063,Customer 62,cust62@example.com,2024-03-03,53.36,Unknown,EU
1064,Customer 63,cust63@example.com,2024-03-04,106.03,Unknown,EU
1065,Customer 64,cust64@example.com,2024-03-05,32.16,Unknown,APAC
1066,Customer 65,cust65@example.com,2024-03-06,169.41,Unknown,APAC
1068,Customer 67,cust67@example.com,2024-03-08,200.45,Pending,US
1070,Customer 69,cust69@example.com,2024-03-10,416.08,Pending,EU
1071,Customer 70,cust70@example.com,2024-03-11,184.81,Pending,US
1072,Customer 71,cust71@example.com,2024-03-12,147.66,Completed,EU
1073,Customer 72,cust72@example.com,2024-03-13,275.92,Cancelled,US
1074,Customer 73,cust73@example.com,2024-03-14,79.05,Unknown,US
1075,Customer 74,cust74@example.com,2024-03-15,403.08,Completed,APAC
1076,Customer 75,cust75@example.com,2024-03-16,46.53,Pending,US
1077,Customer 76,cust76@example.com,2024-03-17,493.57,Completed,US
1079,Customer 78,cust78@example.com,2024-03-19,388.4,Pending,US
1080,Customer 79,cust79@example.com,2024-03-20,107.37,Cancelled,EU
1081,Customer 80,cust80@example.com,2024-03-21,12.71,Pending,US
1082,Customer 81,cust81@example.com,2024-03-22,409.58,Pending,EU
1083,Customer 82,cust82@example.com,2024-03-23,356.36,Pending,US
1084,Customer 83,cust83@example.com,2024-03-24,367.21,Completed,APAC
1085,Customer 84,cust84@example.com,2024-03-25,387.92,Completed,US
1087,Customer 86,cust86@example.com,2024-03-27,185.65,Pending,EU
1088,Customer 87,cust87@example.com,2024-03-28,66.78,Unknown,APAC
1090,Customer 89,cust89@example.com,2024-03-30,432.92,Unknown,US
1091,Customer 90,cust90@example.com,2024-03-31,315.42,Cancelled,APAC
1092,Customer 91,cust91@example.com,2024-04-01,172.14,Unknown,APAC
1093,Customer 92,cust92@example.com,2024-04-02,41.14,Pending,US
1094,Customer 93,cust93@example.com,2024-04-03,162.38,Pending,EU
1095,Customer 94,cust94@example.com,2024-04-04,169.34,Completed,US
1096,Customer 95,cust95@example.com,2024-04-05,367.51,Cancelled,APAC
1097,Customer 96,cust96@example.com,2024-04-06,322.4,Cancelled,US
1098,Customer 97,cust97@example.com,2024-04-07,444.73,Completed,EU
1099,Customer 98,cust98@example.com,2024-04-08,241.39,Unknown,US
1101,Customer 100,cust100@example.com,2024-04-10,68.6,Pending,EU
1102,Customer 101,cust101@example.com,2024-04-11,359.49,Pending,US
1104,Customer 103,cust103@example.com,2024-04-13,285.03,Pending,APAC
1105,Customer 104,cust104@example.com,2024-04-14,387.77,Cancelled,EU
1106,Customer 105,cust105@example.com,2024-04-15,251.96,Cancelled,US
1107,Customer 106,cust106@example.com,2024-04-16,266.14,Completed,APAC
1108,Customer 107,cust107@example.com,2024-04-17,219.5,Pending,US
1109,Customer 108,cust108@example.com,2024-04-18,22.46,Completed,EU
1110,Customer 109,cust109@example.com,2024-04-19,62.87,Completed,US
1112,Customer 111,cust111@example.com,2024-04-21,25.4,Unknown,US
1113,Customer 112,cust112@example.com,2024-04-22,321.84,Completed,EU
1114,Customer 113,cust113@example.com,2024-04-23,164.03,Pending,US
1115,Customer 114,cust114@example.com,2024-04-24,259.2,Unknown,APAC
1116,Customer 115,cust115@example.com,2024-04-25,454.71,Completed,EU
1117,Customer 116,cust116@example.com,2024-04-26,132.15,Unknown,EU
1118,Customer 117,cust117@example.com,2024-04-27,211.09,Completed,US
1119,Customer 118,cust118@example.com,2024-04-28,380.22,Pending,EU
1121,Customer 120,cust120@example.com,2024-04-30,47.72,Completed,APAC
1123,Customer 122,cust122@example.com,2024-05-02,151.98,Completed,EU
1124,Customer 123,cust123@example.com,2024-05-03,89.0,Completed,EU
1125,Customer 124,cust124@example.com,2024-05-04,465.55,Completed,US
1126,Customer 125,cust125@example.com,2024-05-05,405.98,Pending,EU
1127,Customer 126,cust126@example.com,2024-05-06,320.37,Unknown,EU
1128,Customer 127,cust127@example.com,2024-05-07,437.02,Cancelled,EU
1129,Customer 128,cust128@example.com,2024-05-08,403.8,Completed,US
1130,Customer 129,cust129@example.com,2024-05-09,101.42,Completed,APAC
1131,Customer 130,cust130@example.com,2024-05-10,447.35,Pending,APAC
1132,Customer 131,cust131@example.com,2024-05-11,274.28,Completed,EU
1134,Customer 133,cust133@example.com,2024-05-13,405.65,Cancelled,US
1135,Customer 134,cust134@example.com,2024-05-14,449.08,Pending,EU
1136,Customer 135,cust135@example.com,2024-05-15,165.82,Completed,EU
1138,Customer 137,cust137@example.com,2024-05-17,121.69,Pending,EU
1139,Customer 138,cust138@example.com,2024-05-18,219.28,Cancelled,APAC
1140,Customer 139,cust139@example.com,2024-05-19,410.83,Pending,US
1141,Customer 140,cust140@example.com,2024-05-20,431.76,Completed,APAC
1142,Customer 141,cust141@example.com,2024-05-21,13.41,Unknown,APAC
1143,Customer 142,cust142@example.com,2024-05-22,260.27,Unknown,US
1145,Customer 144,cust144@example.com,2024-05-24,214.53,Pending,US
1146,Customer 145,cust145@example.com,2024-05-25,118.83,Pending,APAC
1147,Customer 146,cust146@example.com,2024-05-26,68.73,Completed,EU
1148,Customer 147,cust147@example.com,2024-05-27,175.43,Completed,APAC
1149,Customer 148,cust148@example.com,2024-05-28,472.03,Unknown,EU
1150,Customer 149,cust149@example.com,2024-05-29,168.37,Pending,EU
1151,Customer 150,cust150@example.com,2024-05-30,264.21,Completed,US
1152,Customer 151,cust151@example.com,2024-05-31,354.48,Completed,EU
1153,Customer 152,cust152@example.com,2024-06-01,188.18,Unknown,US
1156,Customer 155,cust155@example.com,2024-06-04,481.6,Completed,EU
1157,Customer 156,cust156@example.com,2024-06-05,133.37,Completed,US
1158,Customer 157,cust157@example.com,2024-06-06,253.65,Unknown,APAC
1159,Customer 158,cust158@example.com,2024-06-07,157.43,Completed,APAC
1160,Customer 159,cust159@example.com,2024-06-08,149.57,Pending,US
1161,Customer 160,cust160@example.com,2024-06-09,28.07,Completed,US
1162,Customer 161,cust161@example.com,2024-06-10,308.69,Unknown,US
1163,Customer 162,cust162@example.com,2024-06-11,256.31,Unknown,EU
1164,Customer 163,cust163@example.com,2024-06-12,35.22,Pending,US
1165,Customer 164,cust164@example.com,2024-06-13,146.54,Pending,US
1167,Customer 166,cust166@example.com,2024-06-15,455.05,Completed,APAC
1168,Customer 167,cust167@example.com,2024-06-16,127.39,Cancelled,APAC
1169,Customer 168,cust168@example.com,2024-06-17,81.0,Pending,EU
1170,Customer 169,cust169@example.com,2024-06-18,249.83,Pending,APAC
1172,Customer 171,cust171@example.com,2024-06-20,128.61,Cancelled,EU
1173,Customer 172,cust172@example.com,2024-06-21,339.35,Pending,US
1174,Customer 173,cust173@example.com,2024-06-22,383.19,Unknown,US
1175,Customer 174,cust174@example.com,2024-06-23,126.44,Cancelled,APAC
1176,Customer 175,cust175@example.com,2024-06-24,366.83,Pending,EU
1178,Customer 177,cust177@example.com,2024-06-26,190.21,Pending,EU
1179,Customer 178,cust178@example.com,2024-06-27,319.83,Pending,EU
1180,Customer 179,cust179@example.com,2024-06-28,320.43,Cancelled,APAC
1181,Customer 180,cust180@example.com,2024-06-29,272.53,Completed,EU
1182,Customer 181,cust181@example.com,2024-06-30,54.24,Pending,EU
1183,Customer 182,cust182@example.com,2024-07-01,419.3,Completed,US
1184,Customer 183,cust183@example.com,2024-07-02,167.18,Unknown,US
1185,Customer 184,cust184@example.com,2024-07-03,101.39,Pending,EU
1186,Customer 185,cust185@example.com,2024-07-04,29.98,Completed,EU
1187,Customer 186,cust186@example.com,2024-07-05,299.54,Pending,APAC
1189,Customer 188,cust188@example.com,2024-07-07,342.01,Completed,US
1190,Customer 189,cust189@example.com,2024-07-08,18.13,Completed,EU
1191,Customer 190,cust190@example.com,2024-07-09,260.93,Cancelled,US
1192,Customer 191,cust191@example.com,2024-07-10,120.98,Completed,EU
1193,Customer 192,cust192@example.com,2024-07-11,326.13,Cancelled,EU
1194,Customer 193,cust193@example.com,2024-07-12,95.44,Unknown,APAC
1195,Customer 194,cust194@example.com,2024-07-13,348.56,Completed,US
1196,Customer 195,cust195@example.com,2024-07-14,199.5,Pending,US
1197,Customer 196,cust196@example.com,2024-07-15,469.0,Cancelled,EU
1198,Customer 197,cust197@example.com,2024-07-16,77.39,Completed,APAC
1200,Customer 199,cust199@example.com,2024-07-18,177.12,Completed,US
