order_id,customer_name,email,order_date,amount,status,region,review_reasons
1001,,cust0@example.com,2024-01-01,,Completed,US,missing_amount;missing_customer_name;
1012,Customer 11,cust11@example.com,2024-01-12,,Completed,US,missing_amount;
1018,,cust17@example.com,2024-01-18,99.87,Pending,APAC,missing_customer_name;
1023,Customer 22,cust22@example.com,2024-01-23,,Pending,US,missing_amount;
1034,Customer 33,cust33@example.com,2024-02-03,,Pending,EU,missing_amount;
1035,,cust34@example.com,2024-02-04,307.7,Unknown,US,missing_customer_name;
1045,Customer 44,cust44@example.com,2024-02-14,,Pending,EU,missing_amount;
1052,,cust51@example.com,2024-02-21,162.74,Unknown,US,missing_customer_name;
1056,Customer 55,cust55@example.com,2024-02-25,,Completed,EU,missing_amount;
1067,Customer 66,cust66@example.com,2024-03-07,,Cancelled,EU,missing_amount;
1069,,cust68@example.com,2024-03-09,142.96,Unknown,APAC,missing_customer_name;
1078,Customer 77,cust77@example.com,2024-03-18,,Cancelled,US,missing_amount;
1086,,cust85@example.com,2024-03-26,46.28,Pending,APAC,missing_customer_name;
1089,Customer 88,cust88@example.com,2024-03-29,,Cancelled,EU,missing_amount;
1100,Customer 99,cust99@example.com,2024-04-09,,Cancelled,EU,missing_amount;
1103,,cust102@example.com,2024-04-12,382.78,Completed,US,missing_customer_name;
1111,Customer 110,cust110@example.com,2024-04-20,,Completed,US,missing_amount;
1120,,cust119@example.com,2024-04-29,122.11,Completed,EU,missing_customer_name;
1122,Customer 121,cust121@example.com,2024-05-01,,Completed,US,missing_amount;
1133,Customer 132,cust132@example.com,2024-05-12,,Completed,EU,missing_amount;
1137,,cust136@example.com,2024-05-16,63.93,Completed,APAC,missing_customer_name;
1144,Customer 143,cust143@example.com,2024-05-23,,Pending,US,missing_amount;
1154,,cust153@example.com,2024-06-02,486.17,Cancelled,US,missing_customer_name;
1155,Customer 154,cust154@example.com,2024-06-03,,Unknown,US,missing_amount;
1166,Customer 165,cust165@example.com,2024-06-14,,Cancelled,APAC,missing_amount;
1171,,cust170@example.com,2024-06-19,492.97,Pending,US,missing_customer_name;
1177,Customer 176,cust176@example.com,2024-06-25,,Unknown,EU,missing_amount;
1188,,cust187@example.com,2024-07-06,,Pending,APAC,missing_amount;missing_customer_name;
1199,Customer 198,cust198@example.com,2024-07-17,,Completed,EU,missing_amount;
